Type,QuestionText,CorrectAnswer,TextKeywords,Course add id from coures sheet,
T/F,"In CSS, the ""position: absolute;"" property removes an element from the normal document flow.",TRUE,,3,103
T/F,CSS transitions are used for creating animated effects when changing CSS properties.,TRUE,,3,104
MCQ," What is Bootstrap?

a. A programming language
b. A front-end framework
c. A database management system
d. A server-side scripting language",b,,4,105
MCQ,"In Bootstrap, which class is used to create a responsive navigation bar?

a. .nav
b. .navbar
c. .nav-container
d. .navigation",b,,4,106
MCQ,"What is the purpose of the Bootstrap grid system?

a. To create responsive navigation
b. To organize and layout content in a responsive way
c. To style typography
d. To handle server-side logic",b,,4,107
MCQ," Which Bootstrap class is used to create a button?

a. .btn
b. .button
c. .btn-container
d. .button-style",a,,4,108
MCQ," What is the purpose of the Bootstrap class .container?

a. To create a responsive table
b. To create a container for fixed-width content
c. To style images
d. To apply background colors",b,,4,109
MCQ,"Which class is used to create a responsive image in Bootstrap?

a. .img-fluid
b. .responsive-img
c. .res-img
d. .responsive",a,,4,110
MCQ," What does the Bootstrap class .jumbotron do?

a. Adds a shadow effect to an element
b. Creates a container for fixed-width content
c. Adds padding and rounds the corners of an element
d. Creates a large and noticeable container for showcasing content",d,,4,111
MCQ,"Which class is used to create a navigation bar that sticks to the top of the page when you scroll?

a. .sticky-navbar
b. .fixed-top
c. .nav-fixed
d. .top-nav",b,,4,112
MCQ,"What does the Bootstrap class .badge represent?

a. A navigation bar
b. A label or indicator for a content item
c. A button
d. A form element",b,,4,113
MCQ,"How can you create a responsive table in Bootstrap?

a. Apply the class .responsive-table
b. Use the .table-responsive class on the <table> element
c. Set the table width to 100%
d. Use the <responsive-table> tag",b,,4,114
MCQ,"In Bootstrap, which class is used to create a progress bar?

a. .progressbar
b. .progress-bar
c. .loading-bar
d. .bar",b,,4,115
MCQ," What does the Bootstrap class .carousel do?

a. Creates a card-like container
b. Creates a slideshow or carousel
c. Adds a shadow effect to an element
d. Styles a form element",b,,4,116
MCQ," Which class is used to create a responsive utility class that hides an element on specific screen sizes in Bootstrap?

a. .hidden
b. .hide
c. .d-none
d. .invisible",c,,4,117
MCQ," In Bootstrap, which class is used to create a modal (popup)?

a. .popup
b. .modal-dialog
c. .popup-modal
d. .modal-popup",b,,4,118
MCQ,"What does the Bootstrap class .collapse do?

a. Adds a shadow effect to an element
b. Creates a collapsible element
c. Styles images
d. Creates a progress bar",b,,4,119
MCQ,"Which class is used to create a card in Bootstrap?

a. .panel
b. .box
c. .card
d. .container-card",c,,4,120
MCQ," What is the purpose of the Bootstrap class .navbar-toggler?

a. To toggle between different navigation styles
b. To toggle the visibility of the navigation bar on small screens
c. To toggle between light and dark colors
d. To toggle the alignment of navigation links",b,,4,121
MCQ,"Which class is used to create a responsive form layout in Bootstrap?

a. .form-responsive
b. .responsive-form
c. .form-horizontal
d. .responsive-layout",c,,4,122
MCQ,"What is the purpose of the Bootstrap class .text-center?

a. It adds a border to an element
b. It aligns text to the center
c. It changes the font color
d. It sets the background color of an element",b,,4,123
T/F, Bootstrap is a back-end programming language.,FALSE,,4,124
T/F, The class .container-fluid in Bootstrap creates a fixed-width container.,FALSE,,4,125
T/F,Bootstrap uses a 12-column grid system for layout.,TRUE,,4,126
T/F,The class .btn-primary in Bootstrap is used to create a secondary button.,FALSE,,4,127
T/F,The Bootstrap class .hidden is used to hide an element on the webpage.,FALSE,,4,128
T/F, The class .navbar-inverse in Bootstrap is used to create a light-colored navigation bar.,FALSE,,4,129
T/F, Bootstrap provides a built-in class called .clearfix to clear floats.,TRUE,,4,130
T/F,The Bootstrap class .jumbotron is used to create a small and subtle container.,FALSE,,4,131
T/F,The class .navbar-fixed-top in Bootstrap makes the navigation bar sticky at the top of the page.,TRUE,,4,132
T/F, Bootstrap supports the creation of responsive tables.,TRUE,,4,133
T/F,Bootstrap is a JavaScript library for building interactive user interfaces.,FALSE,,4,134
T/F,Bootstrap is primarily designed for server-side scripting languages like PHP.,FALSE,,4,135
T/F,The Bootstrap grid system is based on a 12-column layout.,TRUE,,4,136
T/F,Bootstrap uses Flexbox as its default layout system.,FALSE,,4,137
T/F,"Bootstrap components are styled using CSS, and they include HTML, JavaScript, and CSS.",TRUE,,4,138
T/F,Bootstrap includes a responsive navigation bar that collapses on smaller screens.,TRUE,,4,139
T/F,"The ""container-fluid"" class in Bootstrap creates a fixed-width container.",FALSE,,4,140
T/F,Bootstrap's utility classes can be used for quick styling without writing custom CSS.,TRUE,,4,141
T/F,Bootstrap supports the use of custom themes to change the overall appearance of a website.,TRUE,,4,142
T/F,Bootstrap requires the inclusion of the jQuery library for its JavaScript components to function.,FALSE,,5,143
MCQ,"Which property is used for adding rounded corners to an element in CSS3?

a. border-radius
b. corner-radius
c. rounded-corners
d. corner-style",a,,5,144
MCQ,"What does the <canvas> element in HTML5 provide?

a. A container for external content
b. A drawing surface for graphics using JavaScript
c. A semantic container for navigation links
d. A form element for input",b,,5,145
MCQ,"Which CSS property is used to apply a gradient background?

a. background-color
b. gradient-color
c. background-gradient
d. linear-gradient",d,,5,146
MCQ,"What is the purpose of the <nav> element in HTML5?

a. Represents a section of content that is only relevant to a specific page or document
b. Defines a container for navigation links
c. Represents a thematic grouping of content
d. Marks text that has been deleted from a document",b,,5,147
MCQ,"Which property is used for controlling the opacity of an element in CSS3?

a. transparency
b. opacity
c. alpha
d. visibility",b,,5,148
MCQ,"What is the purpose of the <section> element in HTML5?

a. Represents a generic container with no specific semantic meaning
b. Represents a thematic grouping of content, typically with a heading
c. Represents a standalone piece of content that could be distributed and reused independently
d. Represents an embedded object or application",b,,5,149
MCQ," Which property is used for adding shadows to elements in CSS3?

a. shadow-color
b. box-shadow
c. text-shadow
d. element-shadow",b,,5,150
MCQ,"What does the <figcaption> element in HTML5 represent?

a. Represents a caption for a <figure> element
b. Represents a footer for a section or page
c. Represents a container for metadata about an HTML document
d. Represents a code snippet",a,,5,151
MCQ,"Which CSS property is used for applying 3D transformations to elements?

a. transform-3d
b. 3d-transform
c. transform
d. matrix-3d",c,,5,152
MCQ,"What does the <aside> element in HTML5 represent?

a. Represents a container for metadata about an HTML document
b. Represents content that is tangentially related to the content around it
c. Represents a section of content that is only relevant to a specific page or document
d. Represents a header for a section or page",b,,5,153
MCQ," Which property is used for applying transitions to elements in CSS3?

a. transition-property
b. animate
c. transition
d. transform-transition",c,,5,154
MCQ," What is the purpose of the <time> element in HTML5?

a. Represents a duration of time
b. Represents a timestamp
c. Represents a thematic grouping of content
d. Represents a code snippet",a,,5,155
MCQ,"Which property is used for creating multiple columns in CSS3?

a. multi-column
b. column-layout
c. columns
d. layout-columns",c,,5,156
MCQ,"What does the autofocus attribute do in HTML5?

a. It automatically selects the content of an input field
b. It automatically focuses on the first input field on page load
c. It sets the font size of an element
d. It enables automatic scrolling of a specified element",b,,5,157
MCQ,"Which property is used for applying a transformation to an element in 2D space in CSS3?

a. 2d-transform
b. transform-2d
c. translate
d. matrix",c,,5,158
MCQ," What is the purpose of the <mark> element in HTML5?

a. Represents text that is highlighted or marked for reference purposes
b. Represents a thematic grouping of content
c. Represents a timestamp
d. Represents a code snippet",a,,5,159
MCQ," Which property is used for applying a rotation to an element in CSS3?

a. rotate
b. rotation
c. transform-rotate
d. rotate-transform",c,,5,160
MCQ," What is the purpose of the <progress> element in HTML5?

a. Represents a progress bar for the completion of a task
b. Represents a container for metadata about an HTML document
c. Represents a footer for a section or page
d. Represents a thematic grouping of content",a,,5,161
MCQ,"Which property is used for applying a scale transformation to an element in CSS3?

a. scale-transform
b. transform-scale
c. scale
d. scaling",c,,5,162
T/F,The <header> element in HTML5 is used to represent introductory content at the beginning of a section or page.,TRUE,,5,163
T/F,The flexbox layout model is supported in CSS3 and allows for more efficient and predictable layouts.,TRUE,,5,164
T/F,The <figure> and <figcaption> elements in HTML5 are used for embedding multimedia content.,TRUE,,5,165
T/F,The @keyframes rule in CSS3 is used for defining animations.,TRUE,,5,166
T/F,The <footer> element in HTML5 is used to represent a container for navigation links.,FALSE,,5,167
T/F,The transform property in CSS3 is used for applying animations to elements.,FALSE,,5,168
T/F,The <nav> element in HTML5 is used to define a section of content that is only relevant to a specific page or document.,FALSE,,5,169
T/F,The grid layout model is an older and less flexible alternative to the flexbox layout in CSS3.,FALSE,,5,170
T/F, The <main> element in HTML5 is used to represent the main content of the document.,TRUE,,5,171
T/F,"The rgba() color function in CSS3 allows you to specify colors using red, green, blue, and alpha (transparency) values.",TRUE,,5,172
T/F, What is the purpose of the <section> element in HTML5?,"The <section> element in HTML5 is used to represent a thematic grouping of content, typically with a heading.",,5,173
MCQ,"What is JavaScript?

a. A server-side scripting language
b. A markup language
c. A programming language that runs in the browser
d. A database management system",c,,6,174
MCQ," Which keyword is used to declare a variable in JavaScript?

a. variable
b. var
c. let
d. int",b,,6,175
MCQ,"What does the acronym DOM stand for in the context of JavaScript?

a. Document Object Model
b. Data Object Model
c. Dynamic Object Model
d. Document Oriented Model",a,,6,176
MCQ," How do you write a single-line comment in JavaScript?

a. /* comment */
b. // comment
c. <!-- comment -->
d. * comment *",b,,6,177
MCQ," Which of the following is a primitive data type in JavaScript?

a. Object
b. Array
c. String
d. Function",c,,6,178
MCQ,"What is the purpose of the typeof operator in JavaScript?

a. To check the type of a variable
b. To create a new variable
c. To concatenate strings
d. To define a function",a,,6,179
MCQ,"What is the function of the addEventListener method in JavaScript?

a. To create an element in the DOM
b. To add a class to an HTML element
c. To attach an event handler to an element
d. To append an element to the end of the document",c,,6,180
MCQ,"How can you check if a variable is undefined in JavaScript?

a. if (variable == undefined)
b. if (variable === undefined)
c. if (typeof variable == 'undefined')
d. All of the above",d,,6,181
MCQ,"What is the purpose of the Array.isArray() method in JavaScript?

a. To check if a variable is an array
b. To add elements to an array
c. To remove elements from an array
d. To create a new array",a,,6,182
MCQ,"What does the parseInt() function do in JavaScript?

a. Parses a string and returns an integer
b. Adds two numbers together
c. Multiplies two numbers
d. Rounds a number to the nearest integer",a,,6,183
MCQ," Which operator is used for strict equality in JavaScript?

a. =
b. ==
c. ===
d. !=",c,,6,184
MCQ,"What is the purpose of the setTimeout() function in JavaScript?

a. To set a timer for a specific interval
b. To create a delay before executing a function
c. To repeat a function at regular intervals
d. To stop the execution of a function",b,,6,185
MCQ,"Which method is used to remove the last element from an array in JavaScript?

a. pop()
b. shift()
c. removeLast()
d. splice()",a,,6,186
MCQ," What is the purpose of the JSON.stringify() method in JavaScript?

a. To parse a JSON string
b. To convert a JavaScript object to a JSON string
c. To convert a JSON string to a JavaScript object
d. To check if an object is a valid JSON",b,,6,187
MCQ,"Which keyword is used to declare a constant variable in JavaScript?

a. var
b. let
c. const
d. final",c,,6,188
MCQ,"What does the this keyword refer to in JavaScript?

a. It refers to the current function
b. It refers to the global object
c. It refers to the object on which a method was called
d. It refers to the previous element in an array",c,,6,189
MCQ,"What is the purpose of the splice() method in JavaScript?

a. To add elements to an array
b. To remove elements from an array
c. To check if an element exists in an array
d. To reverse the order of elements in an array",b,,6,190
MCQ," How can you convert a string to lowercase in JavaScript?

a. toLowerCase()
b. toLower()
c. convertToLower()
d. lowercase()",a,,6,191
MCQ," What does the localStorage object in JavaScript allow you to do?

a. Store data with no expiration time
b. Store data that expires after a session
c. Store data on the server
d. Store only numeric data",a,,6,192
MCQ,"Which statement is used to exit a loop prematurely in JavaScript?

a. break;
b. exit;
c. return;
d. stop;",a,,6,193
T/F,JavaScript is a case-sensitive language.,TRUE,,6,194
T/F,The === operator in JavaScript checks both value and type for equality.,TRUE,,6,195
T/F,JavaScript has built-in functions for sorting arrays.,TRUE,,6,196
T/F,The let keyword in JavaScript is used to declare constant variables.,FALSE,,6,197
T/F,"The NaN value in JavaScript stands for ""Not a Number.""",TRUE,,6,198
T/F, The prompt() function is used for displaying messages in JavaScript.,FALSE,,6,199
T/F, The typeof operator returns a string indicating the type of a variable.,TRUE,,6,200
T/F,JavaScript can only be used for client-side scripting in web browsers.,FALSE,,6,201
T/F,The null value in JavaScript represents an empty or non-existent object reference.,TRUE,,6,202
T/F,The splice() method is used to add elements to an array in JavaScript.,FALSE,,6,203
MCQ,"What does SQL stand for?

a. Simple Query Language
b. Structured Query Language
c. System Query Language
d. Sequential Query Language",b,,7,204
MCQ," Which of the following SQL statements is used to retrieve data from a table?

a. SELECT
b. UPDATE
c. DELETE
d. INSERT",a,,7,205
MCQ," In SQL, what does the term ""DDL"" stand for?

a. Data Definition Language
b. Data Description Language
c. Database Definition Language
d. Database Description Language",a,,7,206
MCQ,"What is the purpose of the SQL WHERE clause?

a. To specify the order of the result set
b. To filter the rows returned by a query based on a condition
c. To join tables together
d. To group rows based on a specified column",b,,7,207
MCQ,"Which SQL keyword is used to sort the result set in ascending order?

a. SORT
b. ASC
c. ORDER BY
d. SORT BY",c,,7,208
MCQ,"What is the purpose of the SQL GROUP BY clause?

a. To filter rows based on a condition
b. To sort the result set
c. To group rows based on the values in one or more columns
d. To update existing rows in a table",c,,7,209
MCQ," Which SQL function is used to count the number of rows in a table?

a. COUNT()
b. SUM()
c. AVG()
d. MAX()",a,,7,210
MCQ,"In SQL, what does the term ""JOIN"" refer to?

a. Combining rows from two or more tables based on a related column
b. Creating a new table
c. Deleting rows from a table
d. Inserting data into a table",a,,7,211
MCQ," What is the purpose of the SQL HAVING clause?

a. To specify a condition for filtering rows
b. To sort the result set
c. To filter rows based on a condition after grouping
d. To specify the order of the result set",c,,7,212
MCQ,"Which SQL statement is used to add new rows to a table?

a. ADD
b. INSERT INTO
c. CREATE
d. UPDATE",b,,7,213
MCQ,"What is the purpose of the SQL DISTINCT keyword?

a. To delete duplicate rows from a table
b. To select only unique values from a column
c. To create a new table
d. To update rows in a table",b,,7,214
MCQ,"Which SQL statement is used to modify existing data in a table?

a. ALTER TABLE
b. UPDATE
c. MODIFY
d. CHANGE",b,,7,215
MCQ,"What does the SQL LIKE operator do?

a. Matches exact values
b. Matches a pattern in a column
c. Performs arithmetic operations
d. Combines multiple columns",b,,7,216
MCQ,"In SQL, what does the term ""Primary Key"" refer to?

a. A key used for encryption
b. A unique identifier for a record in a table
c. A key used for sorting
d. A key used in foreign key relationships",b,,7,217
MCQ,"Which SQL function is used to find the average value in a numeric column?

a. AVG()
b. SUM()
c. COUNT()
d. MAX()",a,,7,218
MCQ,"What is the purpose of the SQL DELETE statement?

a. To remove a table from the database
b. To delete all rows from a table
c. To delete specific rows from a table
d. To delete a database",c,,7,219
MCQ,"What is the purpose of the SQL UNION operator?

a. Combining result sets of two or more SELECT statements
b. Joining two tables based on a related column
c. Filtering rows based on a condition
d. Sorting the result set",a,,7,220
MCQ," What is the purpose of the SQL ALTER TABLE statement?

a. To create a new table
b. To modify the structure of an existing table
c. To delete a table
d. To insert data into a table",b,,7,221
MCQ,"In SQL, what is the role of the NULL value?

a. It represents a missing or undefined value in a column
b. It is used to indicate the end of a table
c. It is equivalent to the number zero
d. It is a wildcard character in pattern matching",a,,7,222
MCQ,"Which SQL statement is used to remove a table from the database?

a. REMOVE TABLE
b. DROP TABLE
c. DELETE TABLE
d. REMOVE",b,,7,223
T/F,"In SQL Server, the SELECT statement is used to update existing records in a table.",FALSE,,7,224
T/F,The INNER JOIN keyword in SQL Server is used to retrieve all records from two or more tables where there is a match in the specified columns.,TRUE,,7,225
T/F,The ORDER BY clause in SQL Server is used to filter the result set based on a specified condition.,FALSE,,7,226
T/F,The NULL value in SQL Server represents an empty string.,FALSE,,7,227
T/F," In SQL Server, the COUNT() function is used to count the number of rows in a table that satisfy a specified condition.",TRUE,,7,228
T/F,"The CASCADE option in a foreign key constraint in SQL Server means that if a referenced row is deleted, then the corresponding rows in the referencing table will also be deleted.",TRUE,,7,229
T/F,The LIKE operator in SQL Server is used for exact matching of values.,FALSE,,7,230
T/F,"The UNION operator in SQL Server is used to combine the result sets of two or more SELECT statements, excluding duplicate rows.",TRUE,,7,231
T/F, The CHECK constraint in SQL Server is used to ensure that a column value satisfies a specific condition.,TRUE,,7,232
T/F,"In SQL Server, the UPDATE statement is used to add new records to a table.",FALSE,,7,233
